"Column","Field Name","Label/Description"
"1","RECTYPE","Record type"
"2","ALPHAIND","Alphabetic index"
"3","LEA","Local authority number"
"4","ESTAB","Establishment number"
"5","URN","School unique reference number"
"6","SCHNAME","School/Local authority name"
"7","ADDRESS1","School address (1)"
"8","ADDRESS2","School address (2)"
"9","ADDRESS3","School address (3)"
"10","TOWN","School town"
"11","PCODE","School postcode"
"12","TELNUM","School telephone number"
"13","URN_AC","Converter academy: URN"
"14","SCHNAME_AC","Converter academy: name"
"15","OPEN_AC","Converter academy: open date"
"16","NFTYPE","School type"
"17","ICLOSE","Closed Flag"
"18","RELDENOM","Religious denomination"
"19","AGERANGE","Age range"
"20","CONFEXAM","Confirmation that core performance information has been checked"
"21","TAB15","School published in secondary school (key stage 4) performance tables"
"22","TAB1618","School published in school and college (key stage 5) performance tables"
"23","TOTPUPS","Total number of pupils (including part-time pupils)"
"24","TPUPYEAR","Number of pupils aged 11"
"25","TELIG","Published eligible pupil number"
"26","BELIG","Eligible boys on school roll at time of tests"
"27","GELIG","Eligible girls on school roll at time of tests"
"28","PBELIG","% eligible boys on school roll at time of tests"
"29","PGELIG","% eligible girls on school roll at time of tests"
"30","TKS1APS","Cohort level key stage 1 average points score"
"31","TKS1EXP_L","Number of pupils in cohort with low KS1 attainment"
"32","PKS1EXP_L","% pupils in cohort with low KS1 attainment"
"33","TKS1EXP_M","Number of pupils in cohort with medium KS1 attainment"
"34","PKS1EXP_M","% pupils in cohort with medium KS1 attainment"
"35","TKS1EXP_H","Number of pupils in cohort high KS1 attainment"
"36","PKS1EXP_H","% pupils in cohort with high KS1 attainment"
"37","TFSMCLA","Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA)"
"38","PTFSMCLA","% key stage 2 disadvantaged pupils"
"39","TNOTFSMCLA","Number of key stage 2 pupils who are not disadvantaged"
"40","PTNOTFSMCLA","% key stage 2 pupils who are not disadvantaged"
"41","TEALGRP2","Number of eligible pupils with English as additional language (EAL)"
"42","PTEALGRP2","% eligible pupils with English as additional language (EAL)"
